g,basis,Nspec,parity,inversion,Nsweep,Nsites,energy,energy uncertainty
1.7,m,3,none,none,20,3,-2.3101909679575776,1.2644054553268208e-7
1.7,dvr,3,none,none,20,3,-4.915586343940676,1.3328003749250113e-7
1.7,m,3,none,none,50,3,-2.3101909679575807,4.2146848510894035e-8
1.7,dvr,3,none,none,50,3,-4.915586343940674,1.6858739404357614e-7
1.3,m,3,none,none,10,10,-7.6218274816112705,0.005229590660938125
1.3,dvr,3,none,none,10,10,-17.09582952751579,0.00021244192469704212
1.3,m,3,none,none,20,10,-7.622142850081089,0.006448081350980918
1.3,dvr,3,none,none,20,10,-17.095829527515775,0.00021244245983950374
1.3,m,3,none,none,50,10,-7.622472734855128,0.00103970913074924
1.3,dvr,3,none,none,50,10,-17.095829527515765,0.00021244219226844143
1.3,m,3,none,none,10,5,-3.2425310341593887,0.014741830761515992
1.3,dvr,3,none,none,10,5,-7.280164888911621,0.0002512197968695689
1.3,m,3,none,none,20,5,-3.242694184564338,8.744328456318631e-6
1.3,dvr,3,none,none,20,5,-7.280164888911619,0.0002512199100043751
1.3,m,3,none,none,50,5,-3.24269418460792,4.2146848510894035e-8
1.3,dvr,3,none,none,50,5,-7.280164888911621,0.0002512199100043751
1.3,m,3,none,none,10,3,-1.553608564501735,6.258487701416016e-7
1.3,dvr,3,none,none,10,3,-3.3540483189061985,9.424321830774485e-8
1.3,m,3,none,none,20,3,-1.5536085645021522,3.650024149988857e-8
1.3,dvr,3,none,none,20,3,-3.3540483189062,5.960464477539063e-8
1.3,m,3,none,none,50,3,-1.5536085645021527,4.2146848510894035e-8
1.3,dvr,3,none,none,50,3,-3.354048318906199,9.424321830774485e-8
0.8,m,3,none,none,10,10,-3.4175607054002803,0.0011536513671931287
0.8,dvr,3,none,none,10,10,-8.345790008462316,0.0005252806757825956
0.8,m,3,none,none,20,10,-3.41756070657015,0.0011527450941749904
